movie,character,dialogue
SW_EpisodeVI.txt,"""40"" ""LUKE"" ""Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend to Captain Solo. I know that you are powerful, mighty Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo's life.  With your wisdom, I'm sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. As a token of my goodwill, I present to you a gift","these two droids."""
SW_EpisodeVI.txt,"""146"" ""THREEPIO"" ""Victims of the almighty Sarlacc","His Excellency hopes that you will die honorably. But should any of you wish to beg for mercy, the great Jabba the Hutt will now listen to your pleas."""
SW_EpisodeVI.txt,"""213"" ""YODA"" ""Ohhh. Not yet. One thing remains","Vader. You must confront Vader. Then, only then, a Jedi will you be. And confront him you will."""
